date,hash_add_etherscan,mint_link_cryptoslam,nft,price_eth,price_usd,seller_profil_cryptoslam,seller_add,buyer_profil_cryptoslam,buyer_add
7 minutes ago,https://explorer.roninchain.com/tx/0x55b9064a029dee2464754e000ae4b8cc7062d1743fcb74c93e7efccac0366409,https://www.cryptoslam.io/axie-infinity/mint/1558181,Axie #1558181,0.05837 ETH,$164.59,https://www.cryptoslam.io/owner/0x307510f71f3bd65fd4027efa83472b08c768257e,0x307510f71f3bd65fd4027efa83472b08c768257e,https://www.cryptoslam.io/owner/0x74bbf1adbd78673d5c3a4652053d34c30d7e886c,0x74bbf1adbd78673d5c3a4652053d34c30d7e886c
7 minutes ago,https://explorer.roninchain.com/tx/0x88fb39b74f08663fd3f77e1b65a0531f504f27891200131c576d8150019f04da,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6384930,Axie Infinity (SN# 6384930),0.06396 ETH,$180.34,https://www.cryptoslam.io/owner/0xdc2ee54826ecc345b2c075283741e05532961fa5,0xdc2ee54826ecc345b2c075283741e05532961fa5,https://www.cryptoslam.io/owner/0xc053cc32ee19178b0f5705d8f64d7c48afeaf591,0xc053cc32ee19178b0f5705d8f64d7c48afeaf591
7 minutes ago,https://explorer.roninchain.com/tx/0xf63c3c1b67428fff091b51f4f0d269967acc4717ee07a2acef44a1dd27f9a06e,https://www.cryptoslam.io/axie-infinity/mint/2681035,Axie #2681035,0.03978 ETH,$112.16,https://www.cryptoslam.io/owner/0x94cb94d68b449f95734a14db8ba7ae04ac3d6376,0x94cb94d68b449f95734a14db8ba7ae04ac3d6376,https://www.cryptoslam.io/owner/0x67c0d9d299f5f019853c497b43c25605a4386cf3,0x67c0d9d299f5f019853c497b43c25605a4386cf3
7 minutes ago,https://explorer.roninchain.com/tx/0xd114ff786d995963e05140f91ddd5e82e26f37a09851a46ce4084278c6c253df,https://www.cryptoslam.io/axie-infinity/mint/5770548,Axie #5770548,0.05000 ETH,$140.99,https://www.cryptoslam.io/owner/0xa950094794a2ff49bca953fe953476ddb7ad7eb3,0xa950094794a2ff49bca953fe953476ddb7ad7eb3,https://www.cryptoslam.io/owner/0x134e7614751dfb29b6a9f3472648185ffc99d753,0x134e7614751dfb29b6a9f3472648185ffc99d753
7 minutes ago,https://explorer.roninchain.com/tx/0xf1b1feaf47fddba6d6352a55cbd37cf8325c6b1b0896bb99533e3276b3364807,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6498143,Axie Infinity (SN# 6498143),0.12905 ETH,$363.88,https://www.cryptoslam.io/owner/0x305745d701db9a26d4921eff01f0941022e151d2,0x305745d701db9a26d4921eff01f0941022e151d2,https://www.cryptoslam.io/owner/0x79a05f27eb880b0f1885d2ff1ed835fa8d39ee61,0x79a05f27eb880b0f1885d2ff1ed835fa8d39ee61
7 minutes ago,https://explorer.roninchain.com/tx/0xf4c1263d0f38b14896939f294d9718fc09b412d272ace07b8eba13a854d920d3,https://www.cryptoslam.io/axie-infinity/mint/2721937,Axie #2721937,0.06000 ETH,$169.19,https://www.cryptoslam.io/owner/0xa8e7fca9b51bfdb8ec01aa9167345cc64732fb22,0xa8e7fca9b51bfdb8ec01aa9167345cc64732fb22,https://www.cryptoslam.io/owner/0xa05b9ddcc3e5caf2aac56964e01683e7f8b0367a,0xa05b9ddcc3e5caf2aac56964e01683e7f8b0367a
7 minutes ago,https://explorer.roninchain.com/tx/0x8f247dee01bf18d9f060cb1b3681bb79953f7d10551a1700fe3ff6b2ab3a48c9,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6627934,Axie Infinity (SN# 6627934),0.08875 ETH,$250.27,https://www.cryptoslam.io/owner/0xec5e87f49be05561989b84fe413124c1e101c8de,0xec5e87f49be05561989b84fe413124c1e101c8de,https://www.cryptoslam.io/owner/0xa90bb707548b931b1b40912469a6f7fb732cbef3,0xa90bb707548b931b1b40912469a6f7fb732cbef3
8 minutes ago,https://explorer.roninchain.com/tx/0xc44a8a3fc22da632737a7fe3f0b3aaad37b252a1c47676ba5bab9eedcf5c183d,https://www.cryptoslam.iohttps://etherscan.io/token/0x32950db2a7164ae833121501c797d79e7b79d74c?a=6629705,Axie Infinity (SN# 6629705),0.09893 ETH,$278.95,https://www.cryptoslam.io/owner/0x39a251b4973f649731c75bb6e64216dde84286e7,0x39a251b4973f649731c75bb6e64216dde84286e7,https://www.cryptoslam.io/owner/0x3c411530743a368d114f5b9d1b85b2ea192d396e,0x3c411530743a368d114f5b9d1b85b2ea192d396e
8 minutes ago,https://explorer.roninchain.com/tx/0x5c8ab6b3f78de47e550cc2ce7974ea31d62995a79e91bdf39e7896779360aa25,https://www.cryptoslam.io/axie-infinity/mint/5152509,Axie #5152509,0.06000 ETH,$169.19,https://www.cryptoslam.io/owner/0x29dafc40bdfa60155cd396dcc54895b55577495a,0x29dafc40bdfa60155cd396dcc54895b55577495a,https://www.cryptoslam.io/owner/0xeeab6869dfca6f2c5cd4d822dbee564c8ea50849,0xeeab6869dfca6f2c5cd4d822dbee564c8ea50849
8 minutes ago,https://explorer.roninchain.com/tx/0xfe9e08dfe536a541b96719eb8ed4212cdab61fd5962230823d64b69aa89d9f1b,https://www.cryptoslam.io/axie-infinity/mint/5674616,Axie #5674616,0.07712 ETH,$217.47,https://www.cryptoslam.io/owner/0xb56b34ec4edb00ad6a4cf3f61cc76538ddd3f1ba,0xb56b34ec4edb00ad6a4cf3f61cc76538ddd3f1ba,https://www.cryptoslam.io/owner/0xab2e81e911c0331209f7c5c4a4b3c07dde607cb6,0xab2e81e911c0331209f7c5c4a4b3c07dde607cb6
