rank,product_image,product_name,product_collection,date,price
40,https://lh3.googleusercontent.com/AgOSTHdkMahSHV_2_zFkna1qpc2VWm8Q-iiwBs7JLAzS1hC03Qw_KPnUN0-515E86nxx7XfWpms7QYb4L1kVAzk=s128,CryptoPunk #4956,CryptoPunks,about 1 month ago,$552k
41,https://lh3.googleusercontent.com/mD_QgC9VDXY5dWWAxOXYFSoI0ThphZdfQMdl_XTqEfIb1poURUm3BAVbwnjm-nTNi_T739eH4Ng-ON4w6H-FZZRk1IKUyy0i3sXnKA=s128,CryptoPunk #5070,CryptoPunks,about 1 month ago,$552k
42,https://lh3.googleusercontent.com/U8wfTC-aZrbkpxkug__mINhXXhUzAGwHUDbLkmUqNlgMEVlfWSwDd3ukPKwlzltogPF10oruv69oW6-8jsXHlNd8wvXrSdXNYsYIxA=s128,CryptoPunk #6635,CryptoPunks,16 days ago,$545k
43,https://lh3.googleusercontent.com/qD13DIA-bjMl12AtnEbI0ZkHRhScaLM8Gm_BUmN0YB2vGx19MTa5B9GVHHvN5eSu-IW-Uk2ydCihfS0h9YyrFZbRJuAjEnVQhSkC-iE=s128,CryptoPunk #9418,CryptoPunks,22 days ago,$542k
44,https://lh3.googleusercontent.com/DfcThahHl4jBpBQgyjMGHoIS212Nbbew_4dXfuUIZk4LnfXYMF4pYjoYTPW4a5NHiOJ_VATlIXGkwPghwJsnhkXmaG0_DRXD9lnl=s128,CryptoPunk #4187,CryptoPunks,about 1 month ago,$540k
45,https://lh3.googleusercontent.com/TkNltC_iPR_LGY0v7QCJ1UOGVh0Nvj9WMyJqzgeYs6nswK9yozoqfb60bXxyccdZ1j86FK0nEaPlptZLO-93KyWwebx168zcqXR7ois=s128,CryptoPunk #1270,CryptoPunks,12 days ago,$538k
46,https://lh3.googleusercontent.com/1xpxAkBO-e2ycOMYCnG3YwsQpItHOD2SId3iY8ce5xjUnBn-0bbeO4N8MzLCI11H2fxVqathe-mVITUWJ33QVTDtxg=s128,CryptoPunk #2014,CryptoPunks,26 days ago,$538k
47,https://lh3.googleusercontent.com/_C2hIp95QR0SoaoDPaaVhg5MATf4LzU7vHMMsx3ebiTFTp5XQws6YKz77rSz_EbkBPi8FziiW4Cv8NBk34Oxg8IB5IOYSHe9jU9QAA=s128,CryptoPunk #3740,CryptoPunks,about 1 month ago,$529k
48,https://lh3.googleusercontent.com/Ufi9dd7JDQN57QvIp71Gl-qw3wNz7eC5ue906iPKZHrcQtZ_OOB3GZdBGs3pGGy54Gud4EVrgk1ZN_or49f3B0yPuBceP8gDUrV9Vg=s128,CryptoPunk #5375,CryptoPunks,about 1 month ago,$528k
49,https://lh3.googleusercontent.com/jSAmnwABYql3W3ZWqaD2j-9f_O3RNg4-CSBq48A76AcsgZ4Ng0BOoLDa4qo_nsAztmgnfK9gqDZALnOYOo9S0K1A3xdWxASxCxOz3w=s128,CryptoPunk #7765,CryptoPunks,21 days ago,$528k
50,https://lh3.googleusercontent.com/KoRUmR81Mp29u4DxgGfnUkbJ2Oq6HzNrMzmB0NDe9yjzHDVk4sZlFMd_iwFevVvZco1IqlOfpVLB_nBnQS7lfdG0giPGxGD07jjF80w=s128,CryptoPunk #2268,CryptoPunks,27 days ago,$527k
